id,title,authors
l9wHAQAAMAAJ,Гарри Поттер и кубок огня,J. K. Rowling
mmzhBwAAQBAJ,Гарри Поттер и философский камень - Harry Potter and the Philosopher's Stone,Дж. К. Роулинг
eNsHAQAAMAAJ,Гарри Поттер и тайная комната,J. K. Rowling
VNJnTUZ97HQC,Гарри Поттер в церкви: между анафемой и улыбкой,
_GaYDQAAQBAJ,Как работает экономика: Что Rolling Stones, Гарри Поттер и большой спорт могут рассказать о свободном рынке,Д.Тамни
6o17PQAACAAJ,Гарри Поттер и принц-полукровка,J. K. Rowling
4lrHNwAACAAJ,Гарри Поттер: волшебство бренда,Стивен Браун
aG0KBgAAQBAJ,Garre potter Гарри Поттер и узник Азкабана,
M6rFDQAAQBAJ,Джоан Роулинг. Всё о Гарри Поттере, жизни и любви,Софья Бенуа
2BQ5IgAACAAJ,Гарри Поттер и узник Азкабана,J. K. Rowling
MPOjDgAAQBAJ,Ромео и Джульетта (иллюстрированный),Уи́льям Шекспи́р
pHUyDwAAQBAJ,Ромео и Джульетта. Отелло (сборник),Уильям Шекспир
bAfJDgAAQBAJ,Ромео и Джульетта. Сонеты. В переводе Юрия Лифшица,Уильям Шекспир
1f9ODwAAQBAJ,Сочинение на тему «Ромео и Джульетта»,Никита Черемных
hT9QBAAAQBAJ,Ромео и Джульетта (Roméo et Juliette),Шарля Гуно Ж. Барбье М.Карре Светланы Стефанович
rjdwAgAAQBAJ,Ромео и Джульетта,Уильям Шекспир
ZrJaKblNd58C,Укрощение строптивой; Ромео и Джульетта; Сон в летнюю ночь,
6jBRBwAAQBAJ,Ромео и Джульетта,Бернгард Бринк
IAFUAwAAQBAJ,Ромео и Джульетта. Величайшая история любви,Николай Бахрошин
BWN0CgAAQBAJ,Ромео и Джульетта Краткий пересказ произведения У. Шекспира,Анатолий Будниченко
cVtru5EWAZMC,Война и Мир,Толстой Л.Н.
jKEZAAAAYAAJ,Война и мир,
RjNGDAAAQBAJ,Война и Мир. 4 тома в одной книге.,Толстой, Л.Н. Лев Толстой
NRQHAQAAIAAJ,Роман Л. Н. Толстого "Война и мир.",Горьковский государственный университет имени Н.И. Лобачевского
w0WBCwAAQBAJ,Война и мир,Лев Николаевич Толстой
G3MYAQAAIAAJ,"Война и мир" Л.Н. Толстого в историко-функциональном изучении,В. И Юхнович
0rLUO2P9udEC,Война и мир. Книга 2,Лев Толстой
1Vb3CAAAQBAJ,Война и мир. Том 1,Лев Толстой
xSW7AAAAQBAJ,Война и Мир – 1802,Андрей Баранов
yQU1AQAAMAAJ,Война и мир,Лев Толстой (граф)
0c4XjuSd6mAC,Старик и море,Сигизмунд Кржижановский
JWtlDwAAQBAJ,Старик и море. Рассказы (сборник),Эрнест Хемингуэй
qWplDwAAQBAJ,Старик и море. Зеленые холмы Африки (сборник),Эрнест Хемингуэй
j0eU2MIGH60C,Фиеста; Прощай, оружие!; Иметь и не иметь; Рассказы; Старик и море,
qWplDwAAQBAJ,Старик и море. Зеленые холмы Африки (сборник),Эрнест Хемингуэй
L4PKuQEACAAJ,Старик и море,Ernest Hemingway
gOArAQAAIAAJ,Собрание сочинений: За рекой, в тени деревьев. Старик и море. Опасное лето. Праздник, который всегда с тобой,Эрнест Хемингвай
aos2PQAACAAJ,The Old man and the sea,Эрнест Хемингуэй
tLAicgAACAAJ,Мужчины без женщин,Эрнест Хемингуэй
q8Y0DwAAQBAJ,Литература. Учебник для среднего профессионального образования,Коллектив авторов
neFoAAAAQBAJ,Дживс и Вустер (Jeeves and Wooster). Жгут!,Роман Масленников
rfKmAAAAQBAJ,Дживс, вы – гений!,Пелам Гренвилл Вудхаус
-cSmAAAAQBAJ,Дживс и феодальная верность; Тетки – не джентльмены; Посоветуйтесь с Дживсом!,Пелам Вудхаус
sQKnAAAAQBAJ,Держим удар, Дживс!,Пелам Вудхаус
aEJ1fXDY0ZYC,Хью Лори: От «Дживса и Вустера» до «Доктора Хауса»,Энтони Банко
yf6mAAAAQBAJ,Тысяча благодарностей, Дживс!,Пелам Вудхаус
6bamAAAAQBAJ,Этот неподражаемый Дживс,Пелам Вудхаус
N2RMMqxtXt0C,Фамильная честь Вустеров. Держим удар, Дживс! Тысяча благодарностей, Дживс! (сборник),Пелам Вудхаус
lcSmAAAAQBAJ,Дживс и феодальная верность,Пелам Вудхаус
AZ62AAAAQBAJ,На помощь, Дживс!,Пелам Вудхаус
